timestamp,batch,run,provider,model,probe,words,seed,nonce,size_tokens,calls,cached,error
2026-09-18T21:26:23.264Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,962,526129719,439f1c730c1d,999,4,0,
2026-09-18T21:26:23.286Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,950,646699619,5c3e82872053,994,4,0,
2026-09-18T21:26:25.075Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,974,1934326339,47c66a7d1211,1015,4,0,
2026-09-18T21:26:25.300Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,970,60729985,83b5fbe3ac4a,1014,4,0,
2026-09-18T21:26:25.453Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,966,431121795,c68c80995c33,1012,4,0,
2026-09-18T21:26:25.876Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,978,1177448112,da18c6bdce67,1017,4,0,
2026-09-18T21:26:32.166Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,994,549179099,e725726b3044,1028,4,0,
2026-09-18T21:26:33.316Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,990,572738415,7f037c3d6605,1034,4,0,
2026-09-18T21:26:33.578Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,982,407416041,f389e7dcbd17,1027,4,0,
2026-09-18T21:26:33.741Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,1002,1653715223,e5ab496a08dd,1043,4,1029,
2026-09-18T21:26:34.715Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,1006,1284371611,ce2493173907,1047,4,1033,
2026-09-18T21:26:35.066Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,986,1551162279,7e75c3e326f0,1024,4,0,
2026-09-18T21:26:35.242Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,998,95109700,901cf232dab7,1038,4,1024,
2026-09-18T21:26:36.998Z,2026-09-18T21:25:34.111Z,1,openai_responses,gpt-5.6-sol,header,1010,1456604009,1fa32cae8b25,1049,4,1035,
